// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// restore --no-dependencies  /p:UseSharedCompilation=false took 2.45s and exited with 0
// build --framework netcoreapp2.0 --configuration Release --no-restore --no-dependencies  /p:UseSharedCompilation=false took 4.41s and exited with 0
// ***** Done, took 00:00:07 (7.15 sec)   *****
// Found benchmarks:
//   ChipotleCsvBenchmark.Parse2KB: DefaultJob
//   ChipotleCsvBenchmark.Parse4KB: DefaultJob
//   ChipotleCsvBenchmark.Parse8KB: DefaultJob
//   ChipotleCsvBenchmark.Parse16KB: DefaultJob
//   ChipotleCsvBenchmark.Parse32KB: DefaultJob

// **************************
// Benchmark: ChipotleCsvBenchmark.Parse2KB: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// BeforeAnythingElse
// Benchmark Process Environment Information:
// Runtime=.NET Core 2.0.9 (CoreCLR 4.6.26614.01, CoreFX 4.6.26614.01), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob
WorkloadPilot    9: 10 op, 8444000.00 ns, 844.4000 us/op
WorkloadPilot   10: 11 op, 8387200.00 ns, 762.4727 us/op
WorkloadPilot   11: 12 op, 9780600.00 ns, 815.0500 us/op
WorkloadPilot   12: 13 op, 9394400.00 ns, 722.6462 us/op
WorkloadPilot   13: 14 op, 10455500.00 ns, 746.8214 us/op
WorkloadPilot   14: 15 op, 11852600.00 ns, 790.1733 us/op
WorkloadPilot   15: 16 op, 12103800.00 ns, 756.4875 us/op
WorkloadPilot   16: 32 op, 24018300.00 ns, 750.5719 us/op
WorkloadPilot   17: 64 op, 46498400.00 ns, 726.5375 us/op
WorkloadPilot   18: 128 op, 92684500.00 ns, 724.0977 us/op
WorkloadPilot   19: 256 op, 212130200.00 ns, 828.6336 us/op
WorkloadPilot   20: 512 op, 387423200.00 ns, 756.6859 us/op
WorkloadPilot   21: 1024 op, 691153800.00 ns, 674.9549 us/op
WorkloadWarmup   1: 1024 op, 697883700.00 ns, 681.5271 us/op
WorkloadWarmup   2: 1024 op, 694839200.00 ns, 678.5539 us/op
WorkloadWarmup   3: 1024 op, 700000100.00 ns, 683.5938 us/op
WorkloadWarmup   4: 1024 op, 692301000.00 ns, 676.0752 us/op
WorkloadWarmup   5: 1024 op, 700819600.00 ns, 684.3941 us/op
WorkloadWarmup   6: 1024 op, 701259000.00 ns, 684.8232 us/op
WorkloadWarmup   7: 1024 op, 703908500.00 ns, 687.4106 us/op
WorkloadWarmup   8: 1024 op, 702883300.00 ns, 686.4095 us/op
// BeforeActualRun
WorkloadActual   1: 1024 op, 706978700.00 ns, 690.4089 us/op
WorkloadActual   2: 1024 op, 701982900.00 ns, 685.5302 us/op
WorkloadActual   3: 1024 op, 704407000.00 ns, 687.8975 us/op
WorkloadActual   4: 1024 op, 738310000.00 ns, 721.0059 us/op
WorkloadActual   5: 1024 op, 696172900.00 ns, 679.8563 us/op
WorkloadActual   6: 1024 op, 704678200.00 ns, 688.1623 us/op
WorkloadActual   7: 1024 op, 774882000.00 ns, 756.7207 us/op
WorkloadActual   8: 1024 op, 717345500.00 ns, 700.5327 us/op
WorkloadActual   9: 1024 op, 737815800.00 ns, 720.5232 us/op
WorkloadActual  10: 1024 op, 747352400.00 ns, 729.8363 us/op
WorkloadActual  11: 1024 op, 680505800.00 ns, 664.5564 us/op
WorkloadActual  12: 1024 op, 684744300.00 ns, 668.6956 us/op
WorkloadActual  13: 1024 op, 688680300.00 ns, 672.5394 us/op
WorkloadActual  14: 1024 op, 670157600.00 ns, 654.4508 us/op
WorkloadActual  15: 1024 op, 681721900.00 ns, 665.7440 us/op
WorkloadActual  16: 1024 op, 638893300.00 ns, 623.9192 us/op
WorkloadActual  17: 1024 op, 665504800.00 ns, 649.9070 us/op
WorkloadActual  18: 1024 op, 658104700.00 ns, 642.6804 us/op
WorkloadActual  19: 1024 op, 660741900.00 ns, 645.2558 us/op
WorkloadActual  20: 1024 op, 624446300.00 ns, 609.8108 us/op
WorkloadActual  21: 1024 op, 629996600.00 ns, 615.2311 us/op
WorkloadActual  22: 1024 op, 649942300.00 ns, 634.7093 us/op
WorkloadActual  23: 1024 op, 679392500.00 ns, 663.4692 us/op
WorkloadActual  24: 1024 op, 698335800.00 ns, 681.9686 us/op
WorkloadActual  25: 1024 op, 727357900.00 ns, 710.3104 us/op
WorkloadActual  26: 1024 op, 740571100.00 ns, 723.2140 us/op
WorkloadActual  27: 1024 op, 730631400.00 ns, 713.5072 us/op
WorkloadActual  28: 1024 op, 701098500.00 ns, 684.6665 us/op
WorkloadActual  29: 1024 op, 739675400.00 ns, 722.3393 us/op
WorkloadActual  30: 1024 op, 701217900.00 ns, 684.7831 us/op
WorkloadActual  31: 1024 op, 731685200.00 ns, 714.5363 us/op
WorkloadActual  32: 1024 op, 729101200.00 ns, 712.0129 us/op
WorkloadActual  33: 1024 op, 720361300.00 ns, 703.4778 us/op
WorkloadActual  34: 1024 op, 738654400.00 ns, 721.3422 us/op
WorkloadActual  35: 1024 op, 715350700.00 ns, 698.5847 us/op
WorkloadActual  36: 1024 op, 735370600.00 ns, 718.1354 us/op
WorkloadActual  37: 1024 op, 719980200.00 ns, 703.1057 us/op
WorkloadActual  38: 1024 op, 739287900.00 ns, 721.9608 us/op
WorkloadActual  39: 1024 op, 737012900.00 ns, 719.7392 us/op
WorkloadActual  40: 1024 op, 696039900.00 ns, 679.7265 us/op
WorkloadActual  41: 1024 op, 703084100.00 ns, 686.6056 us/op
WorkloadActual  42: 1024 op, 718163300.00 ns, 701.3313 us/op
WorkloadActual  43: 1024 op, 749242400.00 ns, 731.6820 us/op
WorkloadActual  44: 1024 op, 687527500.00 ns, 671.4136 us/op
WorkloadActual  45: 1024 op, 703241000.00 ns, 686.7588 us/op
WorkloadActual  46: 1024 op, 706027900.00 ns, 689.4804 us/op
WorkloadActual  47: 1024 op, 703831000.00 ns, 687.3350 us/op
WorkloadActual  48: 1024 op, 703028800.00 ns, 686.5516 us/op
WorkloadActual  49: 1024 op, 702241900.00 ns, 685.7831 us/op
WorkloadActual  50: 1024 op, 703723000.00 ns, 687.2295 us/op
WorkloadActual  51: 1024 op, 704602600.00 ns, 688.0885 us/op
WorkloadActual  52: 1024 op, 705137800.00 ns, 688.6111 us/op
WorkloadActual  53: 1024 op, 702858900.00 ns, 686.3856 us/op
WorkloadActual  54: 1024 op, 701508700.00 ns, 685.0671 us/op
WorkloadActual  55: 1024 op, 706111600.00 ns, 689.5621 us/op
WorkloadActual  56: 1024 op, 704736800.00 ns, 688.2195 us/op
// AfterActualRun
WorkloadResult   1: 1024 op, 706978700.00 ns, 690.4089 us/op
WorkloadResult   2: 1024 op, 701982900.00 ns, 685.5302 us/op
WorkloadResult   3: 1024 op, 704407000.00 ns, 687.8975 us/op
WorkloadResult   4: 1024 op, 738310000.00 ns, 721.0059 us/op
WorkloadResult   5: 1024 op, 696172900.00 ns, 679.8563 us/op
WorkloadResult   6: 1024 op, 704678200.00 ns, 688.1623 us/op
WorkloadResult   7: 1024 op, 774882000.00 ns, 756.7207 us/op
WorkloadResult   8: 1024 op, 717345500.00 ns, 700.5327 us/op
WorkloadResult   9: 1024 op, 737815800.00 ns, 720.5232 us/op
WorkloadResult  10: 1024 op, 747352400.00 ns, 729.8363 us/op
WorkloadResult  11: 1024 op, 680505800.00 ns, 664.5564 us/op
WorkloadResult  12: 1024 op, 684744300.00 ns, 668.6956 us/op
WorkloadResult  13: 1024 op, 688680300.00 ns, 672.5394 us/op
WorkloadResult  14: 1024 op, 670157600.00 ns, 654.4508 us/op
WorkloadResult  15: 1024 op, 681721900.00 ns, 665.7440 us/op
WorkloadResult  16: 1024 op, 638893300.00 ns, 623.9192 us/op
WorkloadResult  17: 1024 op, 665504800.00 ns, 649.9070 us/op
WorkloadResult  18: 1024 op, 658104700.00 ns, 642.6804 us/op
WorkloadResult  19: 1024 op, 660741900.00 ns, 645.2558 us/op
WorkloadResult  20: 1024 op, 624446300.00 ns, 609.8108 us/op
WorkloadResult  21: 1024 op, 629996600.00 ns, 615.2311 us/op
WorkloadResult  22: 1024 op, 649942300.00 ns, 634.7093 us/op
WorkloadResult  23: 1024 op, 679392500.00 ns, 663.4692 us/op
WorkloadResult  24: 1024 op, 698335800.00 ns, 681.9686 us/op
WorkloadResult  25: 1024 op, 727357900.00 ns, 710.3104 us/op
WorkloadResult  26: 1024 op, 740571100.00 ns, 723.2140 us/op
WorkloadResult  27: 1024 op, 730631400.00 ns, 713.5072 us/op
WorkloadResult  28: 1024 op, 701098500.00 ns, 684.6665 us/op
WorkloadResult  29: 1024 op, 739675400.00 ns, 722.3393 us/op
WorkloadResult  30: 1024 op, 701217900.00 ns, 684.7831 us/op
WorkloadResult  31: 1024 op, 731685200.00 ns, 714.5363 us/op
WorkloadResult  32: 1024 op, 729101200.00 ns, 712.0129 us/op
WorkloadResult  33: 1024 op, 720361300.00 ns, 703.4778 us/op
WorkloadResult  34: 1024 op, 738654400.00 ns, 721.3422 us/op
WorkloadResult  35: 1024 op, 715350700.00 ns, 698.5847 us/op
WorkloadResult  36: 1024 op, 735370600.00 ns, 718.1354 us/op
WorkloadResult  37: 1024 op, 719980200.00 ns, 703.1057 us/op
WorkloadResult  38: 1024 op, 739287900.00 ns, 721.9608 us/op
WorkloadResult  39: 1024 op, 737012900.00 ns, 719.7392 us/op
WorkloadResult  40: 1024 op, 696039900.00 ns, 679.7265 us/op
WorkloadResult  41: 1024 op, 703084100.00 ns, 686.6056 us/op
WorkloadResult  42: 1024 op, 718163300.00 ns, 701.3313 us/op
WorkloadResult  43: 1024 op, 749242400.00 ns, 731.6820 us/op
WorkloadResult  44: 1024 op, 687527500.00 ns, 671.4136 us/op
WorkloadResult  45: 1024 op, 703241000.00 ns, 686.7588 us/op
WorkloadResult  46: 1024 op, 706027900.00 ns, 689.4804 us/op
WorkloadResult  47: 1024 op, 703831000.00 ns, 687.3350 us/op
WorkloadResult  48: 1024 op, 703028800.00 ns, 686.5516 us/op
WorkloadResult  49: 1024 op, 702241900.00 ns, 685.7831 us/op
WorkloadResult  50: 1024 op, 703723000.00 ns, 687.2295 us/op
WorkloadResult  51: 1024 op, 704602600.00 ns, 688.0885 us/op
WorkloadResult  52: 1024 op, 705137800.00 ns, 688.6111 us/op
WorkloadResult  53: 1024 op, 702858900.00 ns, 686.3856 us/op
WorkloadResult  54: 1024 op, 701508700.00 ns, 685.0671 us/op
WorkloadResult  55: 1024 op, 706111600.00 ns, 689.5621 us/op
WorkloadResult  56: 1024 op, 704736800.00 ns, 688.2195 us/op
GC:  57 0 0 241434648 1024
// AfterAll

Mean = 687.9457 us, StdErr = 3.9498 us (0.57%); N = 56, StdDev = 29.5573 us
Min = 609.8108 us, Q1 = 676.1329 us, Median = 687.6162 us, Q3 = 711.1617 us, Max = 756.7207 us
IQR = 35.0288 us, LowerFence = 623.5898 us, UpperFence = 763.7048 us
ConfidenceInterval = [674.2147 us; 701.6766 us] (CI 99.9%), Margin = 13.7310 us (2.00% of Mean)
Skewness = -0.52, Kurtosis = 3.34, MValue = 2

// **************************
